TID	CHEMBL_ID	TargetName	Organism
17076	CHEMBL3944	Vasopressin V2 receptor	Sus scrofa
100637	CHEMBL4370	UDP-glucuronosyltransferase 2B7	Homo sapiens
100307	CHEMBL4222	dUTP pyrophosphatase	Plasmodium falciparum 3D7
101483	CHEMBL5626	SHC-transforming protein 1	Homo sapiens
109938	CHEMBL3638333	Sodium- and chloride-dependent glycine transporter 1	Bos taurus
100157	CHEMBL4531	Galectin-3	Homo sapiens
20120	CHEMBL3436	Phenylalanyl-tRNA synthetase alpha chain	Staphylococcus aureus
100226	CHEMBL4411	Prostaglandin E synthase 2	Homo sapiens
10497	CHEMBL2113	Cathepsin L	Bos taurus
10530	CHEMBL3621	Nociceptin receptor	Mus musculus
20008	CHEMBL3924	Dual specificity phosphatase 22	Homo sapiens
20034	CHEMBL3534	Dolichyl-phosphate-mannose--protein mannosyltransferase 1	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)
10093	CHEMBL2167	Transforming protein p21/H-Ras-1	Homo sapiens
101121	CHEMBL5223	Farnesyltransferase, putative	Leishmania major
100138	CHEMBL4843	C-X3-C chemokine receptor 1	Homo sapiens
12511	CHEMBL4343	DNA polymerase beta	Rattus norvegicus
105216	CHEMBL2163176	Lysine-specific demethylase 5C	Homo sapiens
101585	CHEMBL5862	Glucagon-like peptide 1 receptor	Rattus norvegicus
104504	CHEMBL2010636	Class 1 phosphodiesterase PDEB1	Trypanosoma brucei
11847	CHEMBL3119	Transient receptor potential cation channel subfamily V member 4	Homo sapiens
12752	CHEMBL3150	Vitamin D receptor	Rattus norvegicus
101284	CHEMBL5686	6-phospho-1-fructokinase	Trypanosoma brucei
11890	CHEMBL3461	Neuronal acetylcholine receptor protein alpha-10 subunit	Rattus norvegicus
100199	CHEMBL4953	Replication protein E1	Human papillomavirus type 11
103914	CHEMBL1681621	Cyclic nucleotide specific phosphodiesterase	Trypanosoma cruzi
11130	CHEMBL3577	Aldehyde dehydrogenase 1A1	Homo sapiens
109874	CHEMBL3616354	Branched-chain-amino-acid aminotransferase, mitochondrial	Homo sapiens
100475	CHEMBL4676	Voltage-gated calcium channel alpha2/delta subunit 1	Mus musculus
103147	CHEMBL1075097	Arginase-1	Homo sapiens
101532	CHEMBL5742	Translocator protein	Homo sapiens
100108	CHEMBL3638	RAS guanyl releasing protein 3	Homo sapiens
101356	CHEMBL5852	Pyroglutamylated RFamide peptide receptor	Homo sapiens
10956	CHEMBL2456	Luteinizing hormone/Choriogonadotropin receptor	Rattus norvegicus
104380	CHEMBL1921664	Appetite-regulating hormone	Homo sapiens
18075	CHEMBL5163	Sodium channel protein type III alpha subunit	Homo sapiens
11515	CHEMBL3878	Phosphodiesterase 6A	Homo sapiens
10977	CHEMBL2608	Lysosomal alpha-glucosidase	Homo sapiens
100935	CHEMBL5368	Amiloride-sensitive cation channel 3	Homo sapiens
11169	CHEMBL3596	Gastrin releasing peptide receptor	Mus musculus
10493	CHEMBL2517	Cathepsin F	Homo sapiens
12788	CHEMBL2724	Estrogen receptor alpha	Rattus norvegicus
102910	CHEMBL1075214	5'-nucleotidase	Rattus norvegicus
12478	CHEMBL4042	Cyclooxygenase-1	Rattus norvegicus
100926	CHEMBL5359	Isocitrate lyase	Candida albicans
12102	CHEMBL310	Glutamate [NMDA] receptor subunit epsilon 1	Rattus norvegicus
11205	CHEMBL4001	Histone deacetylase 1	Mus musculus
12546	CHEMBL3503	Glutamate receptor ionotropic, AMPA 2	Rattus norvegicus
108297	CHEMBL3243910	Acrosin	Sus scrofa
11921	CHEMBL303	Glutamate [NMDA] receptor subunit epsilon 4	Rattus norvegicus
12077	CHEMBL4825	MAP kinase p38 alpha	Rattus norvegicus
105214	CHEMBL2163174	Platelet glycoprotein 4	Rattus norvegicus
104063	CHEMBL1743122	Solute carrier family 22 member 2	Homo sapiens
11195	CHEMBL1943	HLA class II histocompatibility antigen DRB1-1	Homo sapiens
103158	CHEMBL1075108	Solute carrier family 12 member 5	Rattus norvegicus
109950	CHEMBL3638345	5-hydroxytryptamine receptor	Cricetulus griseus
100668	CHEMBL3985	Voltage-dependent calcium channel alpha2delta subunit	Sus scrofa
109821	CHEMBL3588732	Dihydroorotate dehydrogenase (quinone), mitochondrial	Plasmodium falciparum (isolate 3D7)
7	CHEMBL1809	Dihydrofolate reductase	Escherichia coli K-12
103729	CHEMBL1293296	14-3-3 protein gamma	Homo sapiens
12719	CHEMBL2659	Vasopressin V1b receptor	Rattus norvegicus
101541	CHEMBL5762	Sodium- and chloride-dependent taurine transporter	Homo sapiens
10449	CHEMBL2367	Peptide deformylase	Staphylococcus aureus subsp. aureus Mu50
17049	CHEMBL3456	Progesterone receptor	Oryctolagus cuniculus
101470	CHEMBL6172	D-amino-acid oxidase	Sus scrofa
